cidade_norm,ano,semestre,count
Inhapi,2021,S1,1
Inhapi,2021,S2,4
Inhapi,2022,S1,2
Inhapi,2022,S2,3
Inhapi,2023,S1,3
Inhapi,2023,S2,3
Inhapi,2024,S1,3
Inhapi,2024,S2,1
Jacaré dos Homens,2013,S1,1
Jacaré dos Homens,2013,S2,1
Jacaré dos Homens,2014,S1,1
Jacaré dos Homens,2014,S2,1
Jacaré dos Homens,2015,S1,1
Jacaré dos Homens,2015,S2,2
Jacaré dos Homens,2017,S2,4
Jacaré dos Homens,2019,S1,1
Jacaré dos Homens,2020,S2,3
Jacaré dos Homens,2021,S2,1
Jacaré dos Homens,2023,S1,1
Jacuípe,2012,S2,1
Jacuípe,2013,S1,2
Jacuípe,2013,S2,1
Jacuípe,2014,S1,3
Jacuípe,2014,S2,1
Jacuípe,2015,S1,1
Jacuípe,2015,S2,1
Jacuípe,2016,S1,2
Jacuípe,2017,S1,3
Jacuípe,2017,S2,2
Jacuípe,2018,S1,3
Jacuípe,2019,S2,2
Jacuípe,2020,S2,3
Jacuípe,2021,S1,1
Jacuípe,2022,S2,1
Jacuípe,2023,S1,1
Jacuípe,2025,S1,1
Japaratinga,2013,S1,5
