cidade_norm,ano,count
Palmeira dos Índios,2016,33
Palmeira dos Índios,2017,33
Palmeira dos Índios,2018,30
Palmeira dos Índios,2019,19
Palmeira dos Índios,2020,22
Palmeira dos Índios,2021,21
Palmeira dos Índios,2022,12
Palmeira dos Índios,2023,24
Palmeira dos Índios,2024,15
Palmeira dos Índios,2025,14
Palmeira dos Índios,2026,3
Pariconha,2012,1
Pariconha,2014,2
Pariconha,2015,2
Pariconha,2017,2
Pariconha,2018,3
Pariconha,2019,1
Pariconha,2022,1
Pariconha,2023,1
Paripueira,2012,7
Paripueira,2013,4
Paripueira,2014,8
Paripueira,2015,2
Paripueira,2016,8
Paripueira,2017,5
Paripueira,2018,9
Paripueira,2019,7
Paripueira,2020,3
Paripueira,2021,5
Paripueira,2022,3
Paripueira,2023,4
Paripueira,2024,10
Paripueira,2025,3
Passo de Camaragibe,2012,5
Passo de Camaragibe,2013,10
Passo de Camaragibe,2014,5
Passo de Camaragibe,2015,10
Passo de Camaragibe,2016,4
Passo de Camaragibe,2017,10
Passo de Camaragibe,2018,6
Passo de Camaragibe,2019,7
Passo de Camaragibe,2020,9
Passo de Camaragibe,2021,4
Passo de Camaragibe,2022,10
Passo de Camaragibe,2023,3
Passo de Camaragibe,2024,6
Passo de Camaragibe,2025,6
Passo de Camaragibe,2026,4
Paulo Jacinto,2012,5
Paulo Jacinto,2013,3
Paulo Jacinto,2014,5
Paulo Jacinto,2016,4
Paulo Jacinto,2017,1
Paulo Jacinto,2018,2
Paulo Jacinto,2019,5
Paulo Jacinto,2020,4
Paulo Jacinto,2021,2
Paulo Jacinto,2022,3
Penedo,2012,30
Penedo,2013,23
Penedo,2014,40
Penedo,2015,35
Penedo,2016,27
Penedo,2017,42
Penedo,2018,21
Penedo,2019,16
Penedo,2020,22
Penedo,2021,27
Penedo,2022,18
Penedo,2023,17
Penedo,2024,16
Penedo,2025,10
Penedo,2026,6
Piaçabuçu,2012,9
Piaçabuçu,2013,10
Piaçabuçu,2014,22
Piaçabuçu,2015,7
Piaçabuçu,2016,2
Piaçabuçu,2017,10
Piaçabuçu,2018,6
Piaçabuçu,2019,6
Piaçabuçu,2020,7
Piaçabuçu,2021,10
Piaçabuçu,2022,14
Piaçabuçu,2023,6
Piaçabuçu,2024,6
Piaçabuçu,2025,9
Piaçabuçu,2026,2
Pilar,2012,52
Pilar,2013,51
Pilar,2014,31
Pilar,2015,22
Pilar,2016,35
Pilar,2017,39
Pilar,2018,29
Pilar,2019,13
Pilar,2020,19
Pilar,2021,2
Pilar,2022,13
Pilar,2023,11
Pilar,2024,8
Pilar,2025,10
Pilar,2026,5
Pindoba,2012,1
Pindoba,2014,1
Pindoba,2016,2
Pindoba,2022,1
